DeputyID,x,y,z,Party,majorPartiesColorMap,alternativeColorMap,Name,State,numVotes
141371,2.115697289,-2.747523044,2.684776319,PR,#ffbb78,#ffbb78,Dr. Adilson Soares,RJ,428
73793,3.326202018,-4.427949725,-1.695330825,PMDB,#393b79,#393b79,Edinho Bez,SC,428
141490,1.806964502,-3.327110535,-1.122278748,PMDB,#393b79,#393b79,Manoel Junior,PB,428
73653,-0.9945121159,-1.92997013,-1.253442722,PR,#ffbb78,#ffbb78,Wellington Fagundes,MT,428
160568,5.09105123,3.423972224,-2.528789725,PT,#d62728,#c8f442,Rogério Carvalho,SE,428
160569,9.510629184,4.345618046,1.797031931,PT,#d62728,#c8f442,Waldenor Pereira,BA,428
160565,-9.113542695,3.25863941,0.3333857106,PSDB,#1f77b4,#e8105f,Mara Gabrilli,SP,428
160566,-1.102839193,-3.987561015,0.3999070784,PSC,#8c564b,#8c564b,Nelson Padovani,PR,428
160567,-10.13293993,1.254585113,-0.8646236789,PSDB,#1f77b4,#e8105f,Nelson Marchezan Junior,RS,428
160561,2.453675295,-3.148164661,-0.2666431223,PP,#008000,#008000,Missionário José Olimpio,SP,428
160563,-5.445753137,-4.080263894,3.580041563,PSD,#660000,#660000,Onofre Santo Agostini,SC,428
160577,0.6667253507,0.01215409709,-3.26602625,PMDB,#393b79,#393b79,Adrian,RJ,428
160626,-4.42793865,-0.2715730935,0.07236787068,PMDB,#393b79,#393b79,Almeida Lima,SE,428
74308,2.634268208,-0.8867962721,-0.7485192489,PROS,#ffa500,#ffa500,Vicente Arruda,CE,428
73891,-2.131009745,-4.2238741,-1.13551886,PMDB,#393b79,#393b79,Darcísio Perondi,RS,428
73893,-0.660546669,2.07078876,-1.106134265,PDT,#32cd32,#ed5915,Enio Bacci,RS,428
141870,1.685581347,-4.688626644,-0.6361529581,PP,#008000,#008000,Vilson Covatti,RS,428
141405,4.229186642,-6.057799547,-0.4563628496,PMDB,#393b79,#393b79,Celso Maldaner,SC,428
141400,1.792651385,2.713754646,4.338163862,PDT,#32cd32,#ed5915,Vieira da Cunha,RS,428
73474,6.517296297,2.694628809,-0.689653257,PT,#d62728,#c8f442,Luci Choinacki,SC,428
74847,-12.75679681,1.548972457,0.6086355198,PP,#008000,#008000,Jair Bolsonaro,RJ,428
74650,-8.848741819,1.668780248,-0.3981116344,PSDB,#1f77b4,#e8105f,Bonifácio de Andrada,MG,428
74655,-11.63295356,1.718882052,1.400525267,PSDB,#1f77b4,#e8105f,Eduardo Barbosa,MG,428
133439,3.681112278,-0.8816913147,5.993669595,PDT,#32cd32,#ed5915,André Figueiredo,CE,428
74439,0.6577288189,-0.4616846501,2.713604284,PDT,#32cd32,#ed5915,Wolney Queiroz,PE,428
80920,-3.306741486,2.20214893,2.541557126,PV,#e377c2,#e377c2,Penna,SP,428
141335,10.12624864,3.568131796,0.8169035608,PT,#d62728,#c8f442,Beto Faro,PA,428
74319,3.615035871,0.2228113494,-3.841708967,PTB,#9467bd,#154bed,Paes Landim,PI,428
141562,0.402098209,-3.237477047,0.5351972794,PMDB,#393b79,#393b79,Lelo Coimbra,ES,428
74079,1.218721453,-2.886802494,-4.148163205,PMDB,#393b79,#393b79,José Priante,PA,428
160586,-11.39999612,2.847315905,1.734477248,PSDB,#1f77b4,#e8105f,William Dib,SP,428
160587,1.387804727,-6.050271812,3.289859167,PMDB,#393b79,#393b79,Fábio Trad,MS,428
160581,5.983087779,2.539209962,1.632855982,PCDOB,#a52121,#a35c3c,Assis Melo,RS,428
74075,0.8547693732,-2.025168342,-3.510939236,PMDB,#393b79,#393b79,Elcione Barbalho,PA,428
160588,0.3084490218,-3.422824534,0.3375886731,PSD,#660000,#660000,Diego Andrade,MG,428
160589,-8.826398619,1.641698403,0.5750147386,PSDB,#1f77b4,#e8105f,Bruna Furlan,SP,428
141446,-1.207648637,-0.5744002428,-3.905777624,PP,#008000,#008000,Gladson Cameli,AC,428
74371,2.6348688,2.448790983,-3.254915394,PT,#d62728,#c8f442,Rubens Otoni,GO,428
160627,-8.462159714,3.416007936,2.313317543,PPS,#666666,#666666,Stepan Nercessian,RJ,428
74133,9.736170413,4.985531049,0.9562134466,PT,#d62728,#c8f442,Luiz Alberto,BA,428
160625,0.8295794755,-2.229313931,4.820959783,PR,#ffbb78,#ffbb78,Zoinho,RJ,428
160623,3.291294491,-2.68894964,-3.205617137,PMDB,#393b79,#393b79,Renan Filho,AL,428
160621,-7.970652871,-0.4475678851,4.853081914,PPS,#666666,#666666,Sandro Alex,PR,428
160620,1.924318035,-4.2793822,-2.02936055,PMDB,#393b79,#393b79,Washington Reis,RJ,428
132056,-1.304454277,0.3550638954,-4.065583095,PP,#008000,#008000,Paulo Maluf,SP,428
141440,6.888248709,1.756405075,2.155074224,PCDOB,#a52121,#a35c3c,Chico Lopes,CE,428
141441,1.407127899,-0.7720498107,0.8880096009,PRB,#aaaaaa,#ff5656,George Hilton,MG,428
141447,-3.281431918,-3.426347437,1.978933221,PSD,#660000,#660000,Guilherme Campos,SP,428
74345,7.471008427,1.668899178,2.306013247,PCDOB,#a52121,#a35c3c,Evandro Milhomen,AP,428
141529,5.348909054,-3.506058176,-1.085396794,PP,#008000,#008000,Roberto Britto,BA,428
141527,2.641569813,-3.161851408,-0.1392013929,PP,#008000,#008000,Renato Molling,RS,428
141523,-4.779103512,-2.052963655,2.694005779,PMDB,#393b79,#393b79,Raul Henry,PE,428
141522,-2.559632492,0.3442105281,-3.138971789,PTB,#9467bd,#154bed,Sabino Castelo Branco,AM,428
160537,1.870714438,-1.468867178,-2.752356319,PMDB,#393b79,#393b79,Gabriel Chalita,SP,428
160535,7.597687287,4.408296802,0.4658692947,PT,#d62728,#c8f442,Marcon,RS,428
160534,0.1344687966,-4.449941904,2.406612644,PSC,#8c564b,#8c564b,Lauriete,ES,428
160533,0.1180534694,-0.7457339321,2.809305153,PROS,#ffa500,#ffa500,Liliam Sá,RJ,428
160532,-9.194695798,1.146371235,-1.150582165,DEM,#f08080,#5b1058,Eli Correa Filho,SP,428
160531,2.223342009,-1.290785336,0.4842238733,PRB,#aaaaaa,#ff5656,Jhonatan de Jesus,RR,428
160530,-11.66523117,2.659879216,1.951032123,PSDB,#1f77b4,#e8105f,Antonio Imbassahy,BA,428
160539,-2.54560569,2.365391702,4.339272964,PR,#ffbb78,#ffbb78,Anthony Garotinho,RJ,428
160538,8.91083622,4.632189489,0.4129985687,PT,#d62728,#c8f442,Bohn Gass,RS,428
73586,0.7850033139,-1.948833485,3.177894952,PSB,#90ee90,#90ee90,Júlio Delgado,MG,428
73584,-11.6408244,2.776229435,-1.959421735,PSDB,#1f77b4,#e8105f,Antonio Carlos Mendes Thame,SP,428
92355,3.00236289,-2.135735523,3.140017269,PRB,#aaaaaa,#ff5656,Vitor Paulo,RJ,428
73588,2.486446338,-4.69322404,-1.708008236,PMDB,#393b79,#393b79,Mauro Benevides,CE,428
73808,0.1960390643,-1.75864698,-0.860447987,PSD,#660000,#660000,Sérgio Brito,BA,428
74273,-0.1751623835,-3.688787512,1.629504853,PSD,#660000,#660000,Jefferson Campos,SP,428
74043,1.059890525,-3.475665876,-1.375154664,PR,#ffbb78,#ffbb78,Wellington Roberto,PB,428
74041,10.96001595,4.566575584,1.160206534,PT,#d62728,#c8f442,Luiz Couto,PB,428
74047,0.4320064251,0.7044268147,3.939590494,PDT,#32cd32,#ed5915,Paulo Rubem Santiago,PE,428
74049,-1.44136057,0.2987658879,-2.489024312,PSD,#660000,#660000,João Lyra,AL,428
74762,3.907487866,-6.181165832,-1.751250422,PMDB,#393b79,#393b79,Saraiva Felipe,MG,428
73531,-6.086017697,10.1993523,4.250311709,PSOL,#ffcc00,#ffcc00,Ivan Valente,SP,428
73924,-9.330230352,0.3093045934,1.530180918,DEM,#f08080,#5b1058,Davi Alcolumbre,AP,428
74467,2.535538294,0.7747324035,0.6853048874,PDT,#32cd32,#ed5915,Damião Feliciano,PB,428
74812,4.892805963,-5.936239316,-0.2057001712,PMDB,#393b79,#393b79,Pedro Chaves,GO,428
160663,4.053729318,-2.77113255,6.443456806,PSB,#90ee90,#90ee90,Leopoldo Meyer,PR,428
160662,-9.387939843,3.169907352,-0.5438961703,PSDB,#1f77b4,#e8105f,Luiz Fernando Machado,SP,428
160661,2.196252087,-0.3517449906,0.9209014069,PROS,#ffa500,#ffa500,José Augusto Maia,PE,428
160633,-10.16396604,0.1491757687,2.375288063,DEM,#f08080,#5b1058,Mandetta,MS,428
160667,0.1969502721,-1.914538906,-1.405473467,PP,#008000,#008000,Guilherme Mussi,SP,428
160666,-0.1509795335,-1.73082258,5.768764946,PDT,#32cd32,#ed5915,Félix Mendonça Júnior,BA,428
160665,-10.76962844,1.042942663,1.20582584,SDD,#ff8c00,#15e2ed,Augusto Coutinho,PE,428
160664,-10.78253607,4.398398263,1.955512678,PSDB,#1f77b4,#e8105f,Cesar Colnago,ES,428
160669,-0.6668407687,-2.592342558,-2.416639987,SDD,#ff8c00,#15e2ed,Genecias Noronha,CE,428
160668,-9.564194411,-0.6401581477,-0.1322349638,DEM,#f08080,#5b1058,Paulo Cesar Quartiero,RR,428
74460,4.674013149,-5.370954429,-1.01051682,PMDB,#393b79,#393b79,Marcelo Castro,PI,428
129037,6.21682925,2.607492803,-0.2652927367,PT,#d62728,#c8f442,Gabriel Guimarães,MG,428
160638,3.346305011,-1.289337522,2.920043041,PDT,#32cd32,#ed5915,Ângelo Agnolin,TO,428
74862,1.793800483,3.208387886,5.653604499,PROS,#ffa500,#ffa500,Miro Teixeira,RJ,428
141542,-1.784341509,-1.795604321,-2.290599222,PTB,#9467bd,#154bed,Sérgio Moraes,RS,428
74385,0.9738717918,-3.138131762,-0.1325172995,PSC,#8c564b,#8c564b,Takayama,PR,428
74554,2.020123602,-2.351337112,1.469625015,PR,#ffbb78,#ffbb78,José Rocha,BA,428
74383,-0.2511619817,-2.592622118,-2.05041377,PR,#ffbb78,#ffbb78,Giacobo,PR,428
74382,-3.995282115,-2.133502704,2.707875094,PSD,#660000,#660000,Eduardo Sciarra,PR,428
160614,1.42198161,1.629647065,4.803004167,PV,#e377c2,#e377c2,Rosane Ferreira,PR,428
